date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:02	557/557	---M--	200	added ('OK')	application/javascript	etag:W/%22557-1629426038000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/js/main-visual-temp08.widget.js?26038	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/knu/_share/js/main-visual-temp08.widget03b3.js	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:02	939/939	---M--	200	added ('OK')	application/javascript	etag:W/%22939-1624514022000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/js/footer-default.widget.js?14022	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/knu/_share/js/footer-default.widget87c5.js	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:02	2790/2790	---M--	200	added ('OK')	application/javascript	etag:W/%222790-1647323169000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/js/gnb-mobile.widget.js?23169	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/knu/_share/js/gnb-mobile.widget7975.js	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:03	2289/2289	---M--	200	added ('OK')	image/png	etag:W/%222289-1607928315000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/img/common/img-logo.png	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/knu/_share/img/common/img-logo.png	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:03	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2023%20Apr%202022%2010:46:03%20GMT	https://aisw.kangwon.ac.kr/aisw/	F:/JSP_Project2/aisw.kangwon.ac.kr/aisw/index-2.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:03	39512/39512	---MC-	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2010:46:03%20GMT	https://aisw.kangwon.ac.kr/aisw/intro/greetings.do	F:/JSP_Project2/aisw.kangwon.ac.kr/aisw/intro/greetings.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:03	41722/41722	---MC-	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2010:46:03%20GMT	https://aisw.kangwon.ac.kr/aisw/intro/history04.do	F:/JSP_Project2/aisw.kangwon.ac.kr/aisw/intro/history04.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:03	43285/43285	---MC-	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2010:46:03%20GMT	https://aisw.kangwon.ac.kr/aisw/intro/intro.do	F:/JSP_Project2/aisw.kangwon.ac.kr/aisw/intro/intro.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:03	41273/41273	---MC-	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2010:46:03%20GMT	https://aisw.kangwon.ac.kr/aisw/intro/lab.do	F:/JSP_Project2/aisw.kangwon.ac.kr/aisw/intro/lab.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:04	41743/41743	---MC-	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2010:46:03%20GMT	https://aisw.kangwon.ac.kr/aisw/intro/circle.do	F:/JSP_Project2/aisw.kangwon.ac.kr/aisw/intro/circle.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
